# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 278         6.259       52.435      3.60        Heino       
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# STN,YYYYMMDD,   TG,   TN,   TX,   RH
  278,20130209,   -5,  -36,   36,   12
  278,20130210,   -6,  -29,   19,    7
  278,20130211,  -14,  -33,    9,    0
  278,20130212,   -2,  -17,   21,    0
  278,20130213,   -6,  -25,   29,    0
  278,20130214,   -9,  -27,    8,   24
  278,20130215,   30,    3,   53,   -1
  278,20130216,   37,    1,   57,    2
  278,20130217,    9,  -27,   46,    0
  278,20130218,   10,  -30,   54,    0
  278,20130219,   24,   -1,   47,    7
  278,20130220,   -6,  -34,   21,    0
  278,20130221,  -10,  -28,   13,    0
  278,20130222,  -24,  -46,    2,    0
  278,20130223,  -15,  -50,    7,    6
  278,20130224,    1,  -13,    9,   21
  278,20130225,   15,    6,   22,    3
  278,20130226,   25,   10,   45,    0
  278,20130227,   11,    1,   25,    0
  278,20130228,   14,  -11,   35,    0
  278,20130301,   34,   24,   47,    1
  278,20130302,   26,   11,   44,    0
  278,20130303,   34,  -20,   62,    2
  278,20130304,   35,  -37,  113,    0
  278,20130305,   70,  -13,  159,    0
  278,20130306,   92,   23,  172,    0
  278,20130307,   71,   49,   94,    0
  278,20130308,   62,   32,   98,   39
  278,20130309,   23,    9,   32,  175
  278,20130310,   -7,  -21,    9,   23
  278,20130311,  -26,  -37,  -17,    0
  278,20130312,  -34,  -78,    0,    0
  278,20130313,  -30,  -88,   39,    4
  278,20130314,  -17,  -64,   31,    0
  278,20130315,   -8,  -73,   32,   11
  278,20130316,   47,   17,   78,    3
  278,20130317,   43,   17,   83,   69
  278,20130318,   54,   14,  101,    4
  278,20130319,   17,   -3,   40,    0
  278,20130320,    5,   -5,   19,   -1
  278,20130321,    7,  -28,   46,    0
  278,20130322,   -2,  -35,   28,    0
  278,20130323,  -14,  -37,   12,    0
  278,20130324,  -14,  -51,   28,    0
  278,20130325,   -4,  -33,   37,    0
  278,20130326,   -1,  -38,   46,    0
  278,20130327,    4,  -42,   57,    0
  278,20130328,   -7,  -36,   21,    0
  278,20130329,   -4,  -43,   28,    0
  278,20130330,    0,  -45,   45,    0
  278,20130331,   -3,  -55,   40,    3
  278,20130401,   13,  -61,   72,    0
  278,20130402,   27,  -39,   88,    0
  278,20130403,   23,  -18,   79,    0
  278,20130404,   29,   -6,   60,    0
  278,20130405,   35,   -1,   77,    0
  278,20130406,   41,  -18,   91,    0
  278,20130407,   23,  -44,   99,    0
  278,20130408,   51,  -15,  112,    0
  278,20130409,   63,   -7,  115,    7
  278,20130410,   61,  -15,  110,   -1
  278,20130411,   75,   17,  112,   49
  278,20130412,   84,   42,  141,  119
  278,20130413,   98,   56,  143,    0
  278,20130414,  151,  104,  193,   -1
  278,20130415,  131,   53,  171,   19
  278,20130416,  119,   25,  184,   -1
  278,20130417,  149,   82,  209,    0
  278,20130418,  133,   86,  177,    0
  278,20130419,   77,   20,  126,   62
  278,20130420,   55,  -18,  116,    0
  278,20130421,   84,   -1,  156,    0
  278,20130422,   93,  -14,  162,    0
  278,20130423,  101,   50,  153,    3
  278,20130424,  140,   57,  213,    0
  278,20130425,  153,  104,  226,    0
  278,20130426,   77,   44,  120,   93
  278,20130427,   60,   -3,  109,    0
  278,20130428,   60,  -23,  132,    0
  278,20130429,   76,   37,  131,    0
  278,20130430,   84,   28,  140,    0
  278,20130501,   97,    8,  169,    0
  278,20130502,  110,   51,  172,    0
  278,20130503,  117,   40,  190,    0
  278,20130504,  109,   10,  180,    0
  278,20130505,  131,   57,  196,    0
  278,20130506,  157,   45,  242,    0
  278,20130507,  152,   67,  221,    9
  278,20130508,  161,  128,  220,  102
  278,20130509,  132,   58,  173,   -1
  278,20130510,  122,   84,  153,    0
  278,20130511,  102,   76,  130,  102
  278,20130512,   93,   62,  138,   30
  278,20130513,  104,   77,  136,   21
  278,20130514,   97,   60,  127,   16
  278,20130515,  118,   49,  164,    0
  278,20130516,  110,   43,  166,   83
  278,20130517,  102,   90,  119,    5
  278,20130518,   92,   32,  123,    0
  278,20130519,  107,   24,  151,    0
  278,20130520,  120,  103,  141,    0
  278,20130521,  107,   82,  135,   76
  278,20130522,   81,   24,  121,    1
  278,20130523,   58,   27,   93,   38
  278,20130524,   80,   19,  132,    0
  278,20130525,   90,   39,  140,   36
  278,20130526,   92,   78,  123,    5
  278,20130527,  126,   71,  192,    0
  278,20130528,  149,   56,  210,    0
  278,20130529,  116,   75,  159,   28
  278,20130530,  132,  103,  174,    0
  278,20130531,  153,  108,  211,    0
  278,20130601,  103,   77,  119,    0
  278,20130602,  116,   62,  175,    0
  278,20130603,  108,   50,  166,    0
  278,20130604,  150,   68,  221,    0
  278,20130605,  164,   67,  236,    0
  278,20130606,  182,   96,  256,    0
  278,20130607,  175,   97,  257,    0
  278,20130608,  142,   91,  203,    0
  278,20130609,  124,   84,  172,    0
  278,20130610,  121,   55,  175,    0
  278,20130611,  141,   49,  213,    0
  278,20130612,  188,  152,  219,    1
  278,20130613,  165,  131,  201,    5
  278,20130614,  150,   95,  197,    0
  278,20130615,  152,   86,  192,   10
  278,20130616,  151,  109,  198,    0
  278,20130617,  177,   79,  237,    0
  278,20130618,  227,  142,  312,    0
  278,20130619,  221,  176,  258,   -1
  278,20130620,  187,  160,  243,  329
  278,20130621,  165,  151,  182,   44
  278,20130622,  166,  138,  203,    5
  278,20130623,  146,  129,  182,   15
  278,20130624,  138,  119,  177,    3
  278,20130625,  126,   56,  165,    0
  278,20130626,  124,   45,  175,   62
  278,20130627,  120,   91,  144,   43
  278,20130628,  133,  100,  159,  116
  278,20130629,  136,   79,  168,   36
  278,20130630,  157,   79,  217,    0
  278,20130701,  158,   97,  201,    0
  278,20130702,  161,   94,  209,    1
  278,20130703,  168,  143,  203,   10
  278,20130704,  182,  144,  234,    0
  278,20130705,  180,  126,  229,    0
  278,20130706,  181,   97,  242,    0
  278,20130707,  192,  116,  254,    0
  278,20130708,  186,  124,  247,    0
  278,20130709,  174,  109,  238,    0
  278,20130710,  151,  109,  193,    0
  278,20130711,  147,   95,  192,    0
  278,20130712,  136,   61,  188,    0
  278,20130713,  155,   70,  213,    0
  278,20130714,  160,   97,  214,    0
  278,20130715,  178,   88,  246,    0
  278,20130716,  187,   91,  248,    0
  278,20130717,  201,  117,  258,    0
  278,20130718,  201,  124,  270,    0
  278,20130719,  194,  109,  256,    0
  278,20130720,  187,  154,  237,    0
  278,20130721,  219,  125,  304,    0
  278,20130722,  246,  134,  329,    0
  278,20130723,  247,  163,  328,    0
  278,20130724,  204,  135,  275,   38
  278,20130725,  209,  121,  286,   24
  278,20130726,  211,  149,  261,   66
  278,20130727,  210,  166,  261,  113
  278,20130728,  196,  148,  232,  200
  278,20130729,  200,  148,  249,    0
  278,20130730,  182,  158,  219,   21
  278,20130731,  189,  161,  231,    6
  278,20130801,  238,  183,  301,    0
  278,20130802,  270,  188,  342,    0
  278,20130803,  201,  122,  245,    0
  278,20130804,  190,  103,  259,    0
  278,20130805,  221,  134,  292,  102
  278,20130806,  180,  131,  220,    0
  278,20130807,  144,  116,  172,  179
  278,20130808,  160,  102,  213,   10
  278,20130809,  169,   93,  230,    0
  278,20130810,  165,  134,  206,    0
  278,20130811,  163,  107,  210,    0
  278,20130812,  154,   95,  201,    0
  278,20130813,  140,  104,  193,   34
  278,20130814,  140,   76,  200,    0
  278,20130815,  153,   65,  201,    1
  278,20130816,  192,  140,  269,   31
  278,20130817,  194,  153,  233,    9
  278,20130818,  178,  125,  232,   55
  278,20130819,  152,   95,  191,   88
  278,20130820,  145,   85,  205,    0
  278,20130821,  163,   84,  229,    0
  278,20130822,  176,   99,  240,    0
  278,20130823,  187,  132,  241,    0
  278,20130824,  191,  141,  248,   23
  278,20130825,  181,  146,  241,    5
  278,20130826,  169,  116,  229,    0
  278,20130827,  164,   94,  233,    0
  278,20130828,  174,  105,  244,    0
  278,20130829,  155,   99,  234,    0
  278,20130830,  169,   93,  235,    0
  278,20130831,  157,   75,  215,   20
