competition_id,season,CompetitionRound,MatchDay,HomeTeamGoals,AwayTeamGoals,aggregate,HomeTeamPosition,AwayTeamPosition,HomeTeam,AwayTeam
L1,2021,34,14-5-2022,1,1,01:01:00,17,4,Arminia Bielefeld,Rasenballsport Leipzig
L1,2021,34,14-5-2022,2,2,02:02:00,12,1,Vfl Wolfsburg,Fc Bayern Munchen
L1,2021,34,14-5-2022,2,1,02:01:00,14,18,Fc Augsburg,Spvgg Greuther Furth
L1,2021,33,8-5-2022,4,0,04:00:00,4,14,Rasenballsport Leipzig,Fc Augsburg
L1,2021,33,8-5-2022,2,2,02:02:00,1,16,Fc Bayern Munchen,Vfb Stuttgart
L1,2021,33,8-5-2022,1,1,01:01:00,12,10,Eintracht Frankfurt,Borussia Monchengladbach
L1,2021,34,14-5-2022,2,1,02:01:00,15,7,Vfb Stuttgart,1 Fc Koln
L1,2021,34,14-5-2022,2,1,02:01:00,3,6,Bayer 04 Leverkusen,Sc Freiburg
L1,2021,34,14-5-2022,5,1,05:01:00,10,9,Borussia Monchengladbach,Tsg 1899 Hoffenheim
L1,2021,34,14-5-2022,3,2,03:02:00,5,13,1 Fc Union Berlin,Vfl Bochum
L1,2021,34,14-5-2022,2,1,02:01:00,2,16,Borussia Dortmund,Hertha Bsc
L1,2021,33,7-5-2022,1,2,01:02:00,15,9,Hertha Bsc,1 Fsv Mainz 05
L1,2021,33,7-5-2022,1,3,01:03:00,18,2,Spvgg Greuther Furth,Borussia Dortmund
L1,2021,34,14-5-2022,2,2,02:02:00,8,11,1 Fsv Mainz 05,Eintracht Frankfurt
L1,2021,33,7-5-2022,0,1,00:01:00,7,13,1 Fc Koln,Vfl Wolfsburg
L1,2021,33,7-5-2022,1,4,01:04:00,5,6,Sc Freiburg,1 Fc Union Berlin
L1,2021,32,2-5-2022,3,1,03:01:00,10,5,Borussia Monchengladbach,Rasenballsport Leipzig
L1,2021,32,2-5-2022,2,0,02:00:00,3,11,Bayer 04 Leverkusen,Eintracht Frankfurt
L1,2021,33,7-5-2022,2,4,02:04:00,8,3,Tsg 1899 Hoffenheim,Bayer 04 Leverkusen
L1,2021,32,30-4-2022,1,1,01:01:00,17,15,Arminia Bielefeld,Hertha Bsc
L1,2021,32,30-4-2022,1,4,01:04:00,14,6,Fc Augsburg,1 Fc Koln
L1,2021,32,30-4-2022,3,4,03:04:00,2,12,Borussia Dortmund,Vfl Bochum
L1,2021,32,30-4-2022,1,1,01:01:00,16,13,Vfb Stuttgart,Vfl Wolfsburg
L1,2021,32,30-4-2022,3,1,03:01:00,9,1,1 Fsv Mainz 05,Fc Bayern Munchen
L1,2021,31,24-4-2022,0,2,00:02:00,13,14,Vfl Bochum,Fc Augsburg
L1,2021,31,24-4-2022,2,0,02:00:00,15,16,Hertha Bsc,Vfb Stuttgart
L1,2021,31,23-4-2022,3,1,03:01:00,7,17,1 Fc Koln,Arminia Bielefeld
L1,2021,31,23-4-2022,1,4,01:04:00,18,3,Spvgg Greuther Furth,Bayer 04 Leverkusen
L1,2021,31,23-4-2022,2,2,02:02:00,9,8,Eintracht Frankfurt,Tsg 1899 Hoffenheim
L1,2021,31,23-4-2022,1,2,01:02:00,4,6,Rasenballsport Leipzig,1 Fc Union Berlin
L1,2021,31,23-4-2022,3,1,03:01:00,1,2,Fc Bayern Munchen,Borussia Dortmund
L1,2021,30,17-4-2022,0,1,00:01:00,4,3,Bayer 04 Leverkusen,Rasenballsport Leipzig
L1,2021,31,22-4-2022,5,0,05:00:00,12,10,Vfl Wolfsburg,1 Fsv Mainz 05
L1,2021,30,17-4-2022,2,0,02:00:00,6,10,1 Fc Union Berlin,Eintracht Frankfurt
L1,2021,30,17-4-2022,0,3,00:03:00,17,1,Arminia Bielefeld,Fc Bayern Munchen
L1,2021,30,16-4-2022,0,1,00:01:00,14,15,Fc Augsburg,Hertha Bsc
L1,2021,30,16-4-2022,0,0,00:00:00,9,16,1 Fsv Mainz 05,Vfb Stuttgart
L1,2021,31,23-4-2022,3,3,03:03:00,5,11,Sc Freiburg,Borussia Monchengladbach
L1,2021,30,16-4-2022,6,1,06:01:00,2,13,Borussia Dortmund,Vfl Wolfsburg
L1,2021,29,10-4-2022,1,2,01:02:00,9,5,Eintracht Frankfurt,Sc Freiburg
L1,2021,32,29-4-2022,1,1,01:01:00,7,18,1 Fc Union Berlin,Spvgg Greuther Furth
L1,2021,30,17-4-2022,0,0,00:00:00,8,18,Tsg 1899 Hoffenheim,Spvgg Greuther Furth
L1,2021,29,9-4-2022,1,4,01:04:00,17,7,Hertha Bsc,1 Fc Union Berlin
L1,2021,29,9-4-2022,3,2,03:02:00,8,10,1 Fc Koln,1 Fsv Mainz 05
L1,2021,29,9-4-2022,4,0,04:00:00,13,16,Vfl Wolfsburg,Arminia Bielefeld
L1,2021,29,10-4-2022,0,0,00:00:00,12,3,Vfl Bochum,Bayer 04 Leverkusen
L1,2021,30,16-4-2022,3,0,03:00:00,5,12,Sc Freiburg,Vfl Bochum
L1,2021,29,9-4-2022,0,2,00:02:00,18,11,Spvgg Greuther Furth,Borussia Monchengladbach
L1,2021,29,10-4-2022,3,0,03:00:00,4,6,Rasenballsport Leipzig,Tsg 1899 Hoffenheim
L1,2021,28,3-4-2022,1,1,01:01:00,12,10,Borussia Monchengladbach,1 Fsv Mainz 05
L1,2021,33,6-5-2022,2,1,02:01:00,11,17,Vfl Bochum,Arminia Bielefeld
L1,2021,29,8-4-2022,0,2,00:02:00,15,2,Vfb Stuttgart,Borussia Dortmund
L1,2021,28,2-4-2022,1,4,01:04:00,5,1,Sc Freiburg,Fc Bayern Munchen
L1,2021,30,16-4-2022,1,3,01:03:00,11,7,Borussia Monchengladbach,1 Fc Koln
L1,2021,28,2-4-2022,1,4,01:04:00,2,4,Borussia Dortmund,Rasenballsport Leipzig
L1,2021,28,2-4-2022,0,0,00:00:00,9,18,Eintracht Frankfurt,Spvgg Greuther Furth
L1,2021,32,30-4-2022,3,4,03:04:00,8,4,Tsg 1899 Hoffenheim,Sc Freiburg
L1,2021,27,20-3-2022,1,1,01:01:00,7,2,1 Fc Koln,Borussia Dortmund
L1,2021,27,20-3-2022,0,0,00:00:00,4,8,Rasenballsport Leipzig,Eintracht Frankfurt
L1,2021,27,20-3-2022,0,2,00:02:00,13,3,Vfl Wolfsburg,Bayer 04 Leverkusen
L1,2021,28,1-4-2022,1,0,01:00:00,7,8,1 Fc Union Berlin,1 Fc Koln
L1,2021,28,2-4-2022,1,2,01:02:00,6,11,Tsg 1899 Hoffenheim,Vfl Bochum
L1,2021,27,19-3-2022,4,0,04:00:00,10,17,1 Fsv Mainz 05,Arminia Bielefeld
L1,2021,28,3-4-2022,3,0,03:00:00,13,14,Fc Augsburg,Vfl Wolfsburg
L1,2021,27,18-3-2022,0,2,00:02:00,12,11,Vfl Bochum,Borussia Monchengladbach
L1,2021,28,2-4-2022,2,1,02:01:00,3,17,Bayer 04 Leverkusen,Hertha Bsc
L1,2021,26,6-4-2022,2,1,02:01:00,14,10,Fc Augsburg,1 Fsv Mainz 05
L1,2021,28,2-4-2022,1,1,01:01:00,16,15,Arminia Bielefeld,Vfb Stuttgart
L1,2021,27,19-3-2022,3,2,03:02:00,15,14,Vfb Stuttgart,Fc Augsburg
L1,2021,27,19-3-2022,4,0,04:00:00,1,9,Fc Bayern Munchen,1 Fc Union Berlin
L1,2021,26,12-3-2022,2,0,02:00:00,13,17,Borussia Monchengladbach,Hertha Bsc
L1,2021,26,12-3-2022,1,1,01:01:00,6,1,Tsg 1899 Hoffenheim,Fc Bayern Munchen
L1,2021,26,13-3-2022,0,1,00:01:00,3,7,Bayer 04 Leverkusen,1 Fc Koln
L1,2021,26,12-3-2022,1,1,01:01:00,8,16,1 Fc Union Berlin,Vfb Stuttgart
L1,2021,29,9-4-2022,1,0,01:00:00,1,14,Fc Bayern Munchen,Fc Augsburg
L1,2021,25,6-3-2022,0,1,00:01:00,8,4,1 Fc Koln,Tsg 1899 Hoffenheim
L1,2021,26,12-3-2022,3,2,03:02:00,5,12,Sc Freiburg,Vfl Wolfsburg
L1,2021,27,19-3-2022,3,0,03:00:00,16,6,Hertha Bsc,Tsg 1899 Hoffenheim
L1,2021,25,5-3-2022,1,4,01:04:00,16,10,Hertha Bsc,Eintracht Frankfurt
L1,2021,25,5-3-2022,1,0,01:00:00,12,7,Vfl Wolfsburg,1 Fc Union Berlin
L1,2021,26,13-3-2022,1,0,01:00:00,2,15,Borussia Dortmund,Arminia Bielefeld
L1,2021,25,16-3-2022,0,1,00:01:00,9,2,1 Fsv Mainz 05,Borussia Dortmund
L1,2021,25,4-3-2022,0,1,00:01:00,15,14,Arminia Bielefeld,Fc Augsburg
L1,2021,25,5-3-2022,2,1,02:01:00,11,18,Vfl Bochum,Spvgg Greuther Furth
L1,2021,24,27-2-2022,1,1,01:01:00,15,2,Fc Augsburg,Borussia Dortmund
L1,2021,24,26-2-2022,0,1,00:01:00,10,1,Eintracht Frankfurt,Fc Bayern Munchen
L1,2021,24,27-2-2022,0,1,00:01:00,11,4,Vfl Bochum,Rasenballsport Leipzig
L1,2021,25,5-3-2022,1,1,01:01:00,1,3,Fc Bayern Munchen,Bayer 04 Leverkusen
L1,2021,24,26-2-2022,2,2,02:02:00,13,12,Borussia Monchengladbach,Vfl Wolfsburg
L1,2021,27,19-3-2022,0,0,00:00:00,18,5,Spvgg Greuther Furth,Sc Freiburg
L1,2021,24,26-2-2022,3,0,03:00:00,3,14,Bayer 04 Leverkusen,Arminia Bielefeld
L1,2021,24,26-2-2022,1,1,01:01:00,18,8,Spvgg Greuther Furth,1 Fc Koln
L1,2021,23,20-2-2022,1,6,01:06:00,15,4,Hertha Bsc,Rasenballsport Leipzig
L1,2021,26,13-3-2022,2,1,02:01:00,9,11,Eintracht Frankfurt,Vfl Bochum
L1,2021,25,5-3-2022,3,2,03:02:00,17,13,Vfb Stuttgart,Borussia Monchengladbach
